geo,population_aged_15_19_years_male_percent,time
pak,10.07,2015
pak,9.753,2020
pak,9.669,2025
pak,9.593,2030
pak,9.084,2035
pak,8.509,2040
pak,8.027,2045
pak,7.713,2050
pan,9.297,1950
pan,9.182,1955
pan,9.756,1960
pan,9.925,1965
pan,10.16,1970
pan,10.51,1975
pan,10.98,1980
pan,11.32,1985
pan,10.96,1990
pan,9.993,1995
pan,9.537,2000
pan,9.387,2005
pan,8.89,2010
pan,8.833,2015
pan,8.638,2020
pan,8.201,2025
pan,7.771,2030
pan,7.46,2035
pan,7.219,2040
pan,6.996,2045
pan,6.703,2050
png,10.21,1950
png,10.28,1955
png,10.2,1960
png,10.4,1965
png,10.76,1970
png,10.69,1975
png,11.04,1980
png,10.97,1985
png,10.99,1990
png,10.38,1995
png,10.37,2000
png,10.35,2005
png,10.6,2010
png,11.03,2015
png,10.8,2020
png,10.48,2025
png,10.07,2030
png,9.594,2035
png,9.294,2040
png,8.987,2045
png,8.623,2050
pry,10.39,1950
pry,10.44,1955
pry,10.22,1960
pry,10.59,1965
pry,11.29,1970
pry,11.28,1975
pry,11.17,1980
pry,10.9,1985
pry,10.01,1990
pry,10.3,1995
pry,11.12,2000
pry,10.92,2005
pry,10.52,2010
pry,10.03,2015
pry,9.583,2020
pry,9.19,2025
pry,8.802,2030
pry,8.39,2035
pry,7.935,2040
pry,7.557,2045
pry,7.233,2050
per,10.3,1950
per,10.1,1955
per,9.778,1960
per,9.9,1965
per,10.36,1970
per,10.63,1975
per,10.98,1980
per,10.95,1985
per,10.89,1990
per,10.9,1995
per,10.39,2000
per,10.28,2005
per,9.931,2010
per,9.391,2015
per,8.923,2020
per,8.515,2025
per,7.925,2030
per,7.479,2035
per,7.146,2040
per,6.863,2045
per,6.599,2050
phl,10.44,1950
phl,10.18,1955
phl,10.39,1960
phl,10.44,1965
phl,11.19,1970
phl,11.22,1975
phl,11.2,1980
phl,11.07,1985
phl,10.84,1990
phl,10.84,1995
phl,10.73,2000
phl,10.78,2005
phl,10.55,2010
phl,10.0,2015
phl,9.452,2020
phl,9.25,2025
phl,8.853,2030
phl,8.506,2035
phl,8.137,2040
phl,7.758,2045
phl,7.426,2050
pol,10.18,1950
pol,8.824,1955
pol,6.89,1960
pol,9.626,1965
pol,11.13,1970
pol,10.55,1975
pol,8.222,1980
pol,7.066,1985
pol,7.84,1990
pol,8.741,1995
pol,9.17,2000
pol,8.062,2005
pol,6.86,2010
pol,5.595,2015
pol,5.041,2020
pol,5.339,2025
pol,5.476,2030
pol,5.348,2035
pol,4.992,2040
pol,4.652,2045
pol,4.559,2050
prt,9.965,1950
prt,9.367,1955
prt,8.512,1960
prt,8.765,1965
prt,8.684,1970
prt,9.316,1975
prt,9.174,1980
prt,8.876,1985
prt,8.938,1990
prt,8.311,1995
prt,7.152,2000
prt,5.956,2005
prt,5.523,2010
prt,5.474,2015
prt,5.6,2020
prt,5.302,2025
prt,5.051,2030
prt,4.825,2035
prt,4.669,2040
prt,4.705,2045
prt,4.856,2050
