geo,improved_sanitation_urban_access_percent,time
lva,82,2005
lva,82,2006
lva,82,2007
lva,82,2008
lva,82,2009
lbn,100,1990
lbn,100,1991
lbn,100,1992
lbn,100,1993
lbn,100,1994
lbn,100,1995
lbn,100,1996
lbn,100,1997
lbn,100,1998
lbn,100,1999
lbn,100,2000
lbn,100,2001
lbn,100,2002
lbn,100,2003
lbn,100,2004
lbn,100,2005
lbn,100,2006
lbn,100,2007
lbn,100,2008
lbn,100,2009
lbn,100,2010
lso,38,1994
lso,38,1995
lso,38,1996
lso,38,1997
lso,38,1998
lso,37,1999
lso,37,2000
lso,36,2001
lso,36,2002
lso,36,2003
lso,35,2004
lso,35,2005
lso,34,2006
lso,34,2007
lso,33,2008
lso,33,2009
lso,32,2010
lbr,22,1994
lbr,22,1995
lbr,22,1996
lbr,22,1997
lbr,22,1998
lbr,22,1999
lbr,23,2000
lbr,24,2001
lbr,24,2002
lbr,25,2003
lbr,26,2004
lbr,26,2005
lbr,27,2006
lbr,28,2007
lbr,28,2008
lbr,29,2009
lbr,29,2010
lby,97,1990
lby,97,1991
lby,97,1992
lby,97,1993
lby,97,1994
lby,97,1995
lby,97,1996
lby,97,1997
lby,97,1998
lby,97,1999
lby,97,2000
lby,97,2001
lby,97,2002
lby,97,2003
lby,97,2004
lby,97,2005
lby,97,2006
lby,97,2007
lby,97,2008
lby,97,2009
lby,97,2010
ltu,95,1990
ltu,95,1991
ltu,95,1992
ltu,95,1993
ltu,95,1994
ltu,95,1995
ltu,95,1996
ltu,95,1997
ltu,95,1998
ltu,95,1999
ltu,95,2000
ltu,95,2001
ltu,95,2002
ltu,95,2003
ltu,95,2004
ltu,95,2005
ltu,95,2006
ltu,95,2007
ltu,95,2008
ltu,95,2009
ltu,95,2010
lux,100,1990
lux,100,1991
lux,100,1992
