geo,suicide_men_per_100000_people,time
nor,11.62,1968
nor,12.23,1969
nor,11.31,1970
nor,11.7,1971
nor,12.3,1972
nor,12.6,1973
nor,15.68,1974
nor,13.58,1975
nor,15.17,1976
nor,16.34,1977
nor,16.51,1978
nor,16.31,1979
nor,17.2,1980
nor,18.21,1981
nor,19.63,1982
nor,20.03,1983
nor,20.25,1984
nor,19.72,1985
nor,19.11,1986
nor,21.48,1987
nor,22.8,1988
nor,21.0,1989
nor,21.07,1990
nor,21.73,1991
nor,19.27,1992
nor,19.01,1993
nor,16.55,1994
nor,17.49,1995
nor,16.33,1996
nor,16.12,1997
nor,17.13,1998
nor,18.41,1999
nor,17.47,2000
nor,16.89,2001
nor,14.74,2002
nor,15.48,2003
nor,14.72,2004
omn,5.771,2004
pak,12.8,2004
plw,6.42,2004
pan,2.678,1984
pan,4.881,1985
pan,7.454,1986
pan,7.031,1987
pan,6.491,1988
pan,5.892,1989
pan,7.942,1996
pan,9.672,1997
pan,9.497,1998
pan,9.452,1999
pan,9.407,2000
pan,9.975,2001
pan,9.449,2002
pan,12.01,2003
pan,10.25,2004
png,13.91,2004
pry,4.584,1994
pry,4.374,1995
pry,3.474,1996
pry,3.945,1997
pry,4.749,1998
pry,4.836,1999
pry,4.807,2000
pry,4.397,2001
pry,4.406,2002
pry,5.352,2003
pry,6.3,2004
per,2.262,2004
