suicide_age_30_44_per_100000_people,geo,time
13.12,nor,1996
14.93,nor,1997
15.41,nor,1998
14.93,nor,1999
15.71,nor,2000
14.86,nor,2001
13.8,nor,2002
14.31,nor,2003
12.68,nor,2004
16.23,nor,2005
13.61,nor,2006
11.45,nor,2007
2.534,pan,1984
4.742,pan,1985
3.914,pan,1986
6.17,pan,1987
4.86,pan,1988
3.828,pan,1989
6.317,pan,1996
9.159,pan,1997
7.466,pan,1998
6.727,pan,1999
7.694,pan,2000
6.126,pan,2001
7.302,pan,2002
7.024,pan,2003
9.055,pan,2004
7.24,pan,2006
3.182,pry,1994
3.61,pry,1995
2.822,pry,1996
3.465,pry,1997
3.663,pry,1998
5.674,pry,1999
4.488,pry,2000
2.376,pry,2001
4.213,pry,2002
3.985,pry,2003
4.639,pry,2004
4.057,pry,2005
6.51,pry,2006
0.7088,phl,1992
1.96,phl,1993
1.831,phl,1997
1.786,phl,1998
2.133,phl,1999
2.893,phl,2000
2.226,phl,2001
2.248,phl,2002
2.92,phl,2003
9.954,pol,1959
12.55,pol,1960
13.74,pol,1961
14.19,pol,1962
14.33,pol,1963
13.3,pol,1964
13.95,pol,1965
15.99,pol,1966
16.21,pol,1967
16.34,pol,1968
17.19,pol,1969
17.14,pol,1970
16.29,pol,1971
17.32,pol,1972
17.09,pol,1973
15.44,pol,1974
15.9,pol,1975
16.78,pol,1976
17.3,pol,1977
18.65,pol,1978
18.61,pol,1979
18.36,pol,1983
22.07,pol,1984
20.45,pol,1985
19.62,pol,1986
19.61,pol,1987
18.42,pol,1988
16.82,pol,1989
19.37,pol,1990
21.38,pol,1991
22.7,pol,1992
21.94,pol,1993
21.55,pol,1994
20.62,pol,1995
19.48,pol,1996
20.51,pol,1999
20.97,pol,2000
19.71,pol,2001
20.07,pol,2002
19.52,pol,2003
19.57,pol,2004
19.03,pol,2005
17.5,pol,2006
15.6,pol,2007
16.75,pol,2008
8.235,prt,1955
8.419,prt,1956
7.501,prt,1957
9.667,prt,1958
9.141,prt,1959
7.425,prt,1960
8.913,prt,1961
8.702,prt,1962
9.749,prt,1963
8.574,prt,1964
9.645,prt,1965
10.61,prt,1966
11.51,prt,1967
9.041,prt,1968
8.314,prt,1969
8.893,prt,1970
7.684,prt,1971
7.323,prt,1972
8.271,prt,1973
8.318,prt,1974
8.487,prt,1975
6.975,prt,1976
8.05,prt,1977
8.498,prt,1978
10.86,prt,1979
7.553,prt,1980
6.713,prt,1981
8.416,prt,1982
9.569,prt,1983
10.63,prt,1984
8.148,prt,1985
8.371,prt,1986
9.884,prt,1987
6.066,prt,1988
5.533,prt,1989
7.883,prt,1990
9.487,prt,1991
7.452,prt,1992
6.743,prt,1993
7.315,prt,1994
6.083,prt,1995
4.986,prt,1996
5.708,prt,1997
4.764,prt,1998
4.58,prt,1999
4.479,prt,2000
6.754,prt,2001
10.9,prt,2002
10.4,prt,2003
15.1,rou,1989
10.58,rou,1990
11.54,rou,1991
15.08,rou,1992
16.1,rou,1993
17.35,rou,1994
16.79,rou,1995
16.77,rou,1996
18.17,rou,1997
17.11,rou,1998
14.8,rou,1999
15.57,rou,2000
16.05,rou,2001
17.55,rou,2002
16.21,rou,2003
15.44,rou,2004
13.05,rou,2005
14.37,rou,2006
12.54,rou,2007
11.91,rou,2008
52.78,rus,1980
50.62,rus,1981
50.65,rus,1982
44.27,rus,1985
29.38,rus,1986
29.67,rus,1987
31.1,rus,1988
34.66,rus,1989
35.99,rus,1990
36.38,rus,1991
43.83,rus,1992
54.73,rus,1993
60.72,rus,1994
59.2,rus,1995
55.83,rus,1996
50.71,rus,1997
47.32,rus,1998
51.22,rus,1999
51.11,rus,2000
51.01,rus,2001
50.4,rus,2002
45.49,rus,2003
44.03,rus,2004
41.15,rus,2005
37.81,rus,2006
16.43,srb,1998
15.92,srb,1999
15.96,srb,2000
15.7,srb,2001
14.81,srb,2002
14.72,srb,2003
12.26,srb,2004
15.01,srb,2005
14.12,srb,2006
13.17,srb,2007
13.68,srb,2008
10.33,sgp,1963
9.463,sgp,1964
9.25,sgp,1965
14.19,sgp,1966
10.76,sgp,1967
12.75,sgp,1968
9.247,sgp,1969
7.407,sgp,1970
11.06,sgp,1971
10.02,sgp,1972
10.48,sgp,1973
14.7,sgp,1974
12.9,sgp,1975
11.43,sgp,1976
10.43,sgp,1977
13.97,sgp,1978
10.08,sgp,1979
10.04,sgp,1980
9.692,sgp,1981
10.01,sgp,1982
11.83,sgp,1983
9.454,sgp,1984
14.23,sgp,1985
14.83,sgp,1986
12.74,sgp,1987
15.67,sgp,1988
16.02,sgp,1989
13.49,sgp,1990
12.62,sgp,1991
11.85,sgp,1992
9.828,sgp,1993
10.87,sgp,1994
13.29,sgp,1995
7.469,sgp,1996
11.42,sgp,1997
9.182,sgp,1998
9.665,sgp,1999
11.22,sgp,2000
10.05,sgp,2001
12.18,sgp,2002
9.238,sgp,2003
11.07,sgp,2004
11.43,sgp,2005
21.39,svk,1992
19.45,svk,1993
17.3,svk,1994
18.71,svk,1995
17.85,svk,1996
15.63,svk,1997
18.41,svk,1998
16.29,svk,1999
16.03,svk,2000
17.36,svk,2001
15.23,svk,2002
18.23,svk,2003
15.33,svk,2004
15.0,svk,2005
35.01,svn,1985
33.8,svn,1986
33.7,svn,1987
35.2,svn,1988
33.2,svn,1989
27.35,svn,1990
40.68,svn,1991
32.46,svn,1992
37.62,svn,1993
35.35,svn,1994
32.12,svn,1995
33.24,svn,1996
36.39,svn,1997
33.88,svn,1998
31.14,svn,1999
29.44,svn,2000
28.43,svn,2001
25.58,svn,2002
27.53,svn,2003
21.17,svn,2004
24.48,svn,2005
26.15,svn,2006
16.27,svn,2007
16.12,svn,2008
5.609,esp,1951
5.996,esp,1952
6.276,esp,1953
6.401,esp,1954
5.069,esp,1955
5.15,esp,1956
4.761,esp,1957
4.325,esp,1958
4.615,esp,1959
5.155,esp,1960
4.647,esp,1961
4.987,esp,1962
4.947,esp,1963
5.107,esp,1964
4.37,esp,1965
4.209,esp,1966
4.451,esp,1967
3.809,esp,1968
4.017,esp,1969
3.84,esp,1970
3.739,esp,1971
4.14,esp,1972
3.753,esp,1973
3.321,esp,1974
3.884,esp,1975
3.962,esp,1976
3.494,esp,1977
3.459,esp,1978
3.856,esp,1979
4.127,esp,1980
4.074,esp,1981
4.335,esp,1982
4.662,esp,1983
5.366,esp,1984
5.663,esp,1985
