newly_hiv_infected_percent_age_15_49,geo,time
1.5,zaf,2010
1.43,zaf,2011
0.06,esp,2011
0.06,lka,1990
0.06,lka,1991
0.06,lka,1992
0.06,lka,1993
0.06,lka,1994
0.06,lka,1995
0.06,lka,1996
0.06,lka,1997
0.06,lka,1998
0.06,lka,1999
0.06,lka,2000
0.06,lka,2001
0.06,lka,2002
0.06,lka,2003
0.06,lka,2004
0.06,lka,2005
0.06,lka,2006
0.06,lka,2007
0.06,lka,2008
0.06,lka,2009
0.06,lka,2010
0.06,lka,2011
0.06,sdn,2011
0.52,sur,1990
0.56,sur,1991
0.57,sur,1992
0.55,sur,1993
0.51,sur,1994
0.45,sur,1995
0.38,sur,1996
0.32,sur,1997
0.26,sur,1998
0.2,sur,1999
0.15,sur,2000
0.11,sur,2001
0.06,sur,2002
0.06,sur,2003
0.06,sur,2004
0.06,sur,2005
0.06,sur,2006
0.06,sur,2007
0.06,sur,2008
0.06,sur,2009
0.06,sur,2010
0.06,sur,2011
1.03,swz,1990
1.33,swz,1991
1.68,swz,1992
2.08,swz,1993
2.52,swz,1994
3.01,swz,1995
3.51,swz,1996
3.87,swz,1997
4.06,swz,1998
4.17,swz,1999
4.18,swz,2000
4.11,swz,2001
3.97,swz,2002
3.88,swz,2003
3.75,swz,2004
3.5,swz,2005
3.3,swz,2006
3.16,swz,2007
3.05,swz,2008
2.9,swz,2009
2.79,swz,2010
2.6,swz,2011
0.06,swe,2011
0.06,che,2011
0.06,tjk,1990
0.06,tjk,1991
