geo,total_health_spending_per_person_international_dollar,time
lso,61.91,1997
lso,63.6,1998
lso,62.19,1999
lso,67.92,2000
lso,78.9,2001
lso,73.53,2002
lso,77.25,2003
lso,78.16,2004
lso,74.87,2005
lso,89.88,2006
lso,116.1,2007
lso,127.1,2008
lso,139.3,2009
lso,170.0,2010
lbr,15.26,1998
lbr,18.15,1999
lbr,21.4,2000
lbr,22.72,2001
lbr,21.27,2002
lbr,15.72,2003
lbr,16.25,2004
lbr,17.66,2005
lbr,25.06,2006
lbr,45.59,2007
lbr,48.15,2008
lbr,49.61,2009
lbr,49.25,2010
lby,223.0,1995
lby,213.4,1996
lby,221.1,1997
lby,263.9,1998
lby,390.3,1999
lby,373.6,2000
lby,447.0,2001
lby,527.5,2002
lby,531.7,2003
lby,436.4,2004
