geo,sex_ratio_above_50_years,time
mtq,82.31,1965
mtq,89.19,1970
mtq,82.56,1975
mtq,80.67,1980
mtq,80.75,1985
mtq,80.83,1990
mtq,80.44,1995
mtq,79.93,2000
mtq,79.5,2005
mtq,78.74,2010
mtq,78.0,2015
mtq,75.98,2020
mtq,74.68,2025
mtq,73.51,2030
mtq,74.07,2035
mtq,75.17,2040
mtq,76.67,2045
mtq,78.34,2050
mrt,106.6,1950
mrt,101.7,1955
mrt,97.89,1960
mrt,94.95,1965
mrt,92.73,1970
mrt,90.96,1975
mrt,88.99,1980
mrt,86.33,1985
mrt,82.81,1990
mrt,79.85,1995
mrt,78.85,2000
mrt,81.95,2005
mrt,85.18,2010
mrt,87.62,2015
mrt,89.6,2020
mrt,90.92,2025
mrt,91.55,2030
mrt,91.6,2035
mrt,91.36,2040
mrt,91.03,2045
mrt,90.76,2050
mus,90.97,1950
mus,84.9,1955
mus,82.23,1960
mus,81.47,1965
mus,80.92,1970
mus,79.19,1975
mus,82.34,1980
mus,83.13,1985
mus,81.84,1990
mus,81.43,1995
mus,82.49,2000
mus,83.22,2005
mus,83.91,2010
mus,85.72,2015
mus,85.88,2020
mus,84.86,2025
mus,83.68,2030
mus,82.77,2035
mus,81.68,2040
mus,81.31,2045
mus,81.28,2050
myt,110.9,1950
myt,114.2,1955
myt,118.7,1960
myt,126.7,1965
myt,122.6,1970
myt,120.2,1975
myt,119.2,1980
myt,116.3,1985
myt,112.2,1990
myt,106.3,1995
myt,103.2,2000
myt,99.23,2005
myt,95.69,2010
myt,92.6,2015
myt,90.41,2020
myt,89.06,2025
myt,88.07,2030
myt,87.46,2035
myt,87.36,2040
myt,87.36,2045
myt,87.44,2050
mex,94.12,1950
mex,93.47,1955
mex,92.01,1960
mex,90.48,1965
mex,88.85,1970
mex,87.32,1975
mex,85.73,1980
mex,84.73,1985
mex,85.8,1990
mex,87.44,1995
mex,89.49,2000
mex,90.49,2005
mex,90.4,2010
mex,89.86,2015
mex,89.2,2020
mex,89.3,2025
mex,89.08,2030
mex,88.54,2035
mex,87.83,2040
mex,87.39,2045
mex,87.11,2050
fsm,102.3,1950
fsm,101.4,1955
fsm,99.74,1960
fsm,100.2,1965
fsm,100.5,1970
fsm,100.7,1975
fsm,100.2,1980
fsm,99.18,1985
fsm,100.2,1990
fsm,99.77,1995
fsm,97.88,2000
fsm,97.83,2005
fsm,97.98,2010
fsm,98.14,2015
fsm,97.84,2020
fsm,94.89,2025
fsm,91.57,2030
fsm,89.2,2035
fsm,88.47,2040
fsm,88.05,2045
fsm,87.9,2050
fsm,101.1,1950
fsm,100.6,1955
fsm,100.2,1960
fsm,100.0,1965
fsm,100.1,1970
fsm,102.6,1975
fsm,100.0,1980
fsm,97.06,1985
fsm,94.16,1990
fsm,93.87,1995
fsm,92.01,2000
fsm,94.98,2005
fsm,93.33,2010
fsm,93.7,2015
fsm,89.92,2020
fsm,87.34,2025
fsm,89.23,2030
fsm,92.45,2035
fsm,98.0,2040
fsm,99.81,2045
fsm,100.6,2050
mng,82.75,1950
mng,83.14,1955
mng,83.5,1960
mng,84.17,1965
mng,85.17,1970
mng,86.3,1975
mng,87.43,1980
mng,88.48,1985
mng,87.11,1990
mng,89.19,1995
mng,86.9,2000
mng,86.48,2005
mng,85.95,2010
mng,85.67,2015
mng,85.19,2020
mng,85.34,2025
mng,85.27,2030
mng,85.76,2035
mng,86.11,2040
mng,86.15,2045
mng,85.84,2050
mne,75.85,1950
mne,77.86,1955
mne,79.44,1960
mne,78.07,1965
mne,76.55,1970
mne,76.51,1975
mne,80.06,1980
mne,81.86,1985
mne,81.93,1990
mne,84.18,1995
mne,87.6,2000
mne,84.17,2005
mne,85.14,2010
mne,85.31,2015
mne,85.1,2020
mne,84.38,2025
mne,84.53,2030
mne,84.98,2035
mne,85.94,2040
mne,86.77,2045
mne,87.88,2050
mar,94.74,1950
mar,93.31,1955
mar,92.5,1960
mar,102.7,1965
mar,112.3,1970
mar,107.6,1975
mar,103.1,1980
mar,99.24,1985
mar,93.69,1990
mar,91.26,1995
mar,91.71,2000
mar,93.94,2005
mar,94.61,2010
mar,91.97,2015
mar,89.69,2020
mar,86.47,2025
mar,83.97,2030
mar,82.76,2035
mar,82.4,2040
mar,82.51,2045
mar,82.89,2050
moz,83.95,1950
moz,83.92,1955
moz,83.92,1960
moz,84.01,1965
moz,84.02,1970
moz,83.93,1975
moz,83.81,1980
moz,82.53,1985
moz,77.17,1990
moz,79.42,1995
moz,80.24,2000
moz,81.37,2005
moz,80.69,2010
moz,78.53,2015
moz,75.62,2020
moz,75.1,2025
moz,79.3,2030
moz,85.46,2035
