imports_percent_of_gdp,geo,time
53.52,cri,2007
55.19,cri,2008
41.9,cri,2009
41.16,cri,2010
22.9,civ,1960
28.1,civ,1961
25.75,civ,1962
23.52,civ,1963
24.72,civ,1964
30.12,civ,1965
28.7,civ,1966
28.79,civ,1967
27.99,civ,1968
27.07,civ,1969
29.11,civ,1970
28.43,civ,1971
29.01,civ,1972
33.23,civ,1973
38.38,civ,1974
36.58,civ,1975
36.25,civ,1976
36.33,civ,1977
37.44,civ,1978
37.66,civ,1979
41.18,civ,1980
42.28,civ,1981
39.33,civ,1982
35.72,civ,1983
31.79,civ,1984
32.4,civ,1985
30.18,civ,1986
29.62,civ,1987
27.89,civ,1988
29.06,civ,1989
27.11,civ,1990
26.99,civ,1991
28.12,civ,1992
25.91,civ,1993
29.31,civ,1994
34.44,civ,1995
32.42,civ,1996
33.09,civ,1997
33.05,civ,1998
32.18,civ,1999
33.32,civ,2000
33.46,civ,2001
33.4,civ,2002
34.91,civ,2003
39.35,civ,2004
43.59,civ,2005
42.36,civ,2006
41.94,civ,2007
38.8,civ,2008
34.14,civ,2009
36.3,civ,2010
86.13,hrv,1991
54.16,hrv,1992
53.57,hrv,1993
45.92,hrv,1994
41.54,hrv,1995
42.52,hrv,1996
48.76,hrv,1997
42.18,hrv,1998
42.79,hrv,1999
44.96,hrv,2000
47.35,hrv,2001
49.3,hrv,2002
50.44,hrv,2003
49.32,hrv,2004
48.75,hrv,2005
49.75,hrv,2006
49.76,hrv,2007
49.94,hrv,2008
39.36,hrv,2009
38.83,hrv,2010
44.18,cub,1970
44.18,cub,1971
44.18,cub,1972
44.18,cub,1973
44.17,cub,1974
44.19,cub,1975
44.19,cub,1976
44.18,cub,1977
44.15,cub,1978
44.14,cub,1979
44.28,cub,1980
44.2,cub,1981
44.15,cub,1982
43.98,cub,1983
44.11,cub,1984
44.97,cub,1985
43.78,cub,1986
43.92,cub,1987
43.11,cub,1988
44.76,cub,1989
40.88,cub,1990
29.06,cub,1991
18.23,cub,1992
15.72,cub,1993
14.54,cub,1994
15.91,cub,1995
17.31,cub,1996
17.83,cub,1997
18.25,cub,1998
17.33,cub,1999
16.95,cub,2000
16.13,cub,2001
13.2,cub,2002
13.64,cub,2003
15.29,cub,2004
18.34,cub,2005
18.47,cub,2006
17.63,cub,2007
24.35,cub,2008
14.91,cub,2009
18.96,cub,2010
56.69,cyp,1975
62.62,cyp,1976
67.76,cyp,1977
62.92,cyp,1978
63.77,cyp,1979
63.07,cyp,1980
63.32,cyp,1981
64.24,cyp,1982
63.97,cyp,1983
67.1,cyp,1984
58.83,cyp,1985
48.42,cyp,1986
50.27,cyp,1987
53.5,cyp,1988
59.87,cyp,1989
57.11,cyp,1990
57.09,cyp,1991
60.64,cyp,1992
47.93,cyp,1993
48.09,cyp,1994
50.09,cyp,1995
53.67,cyp,1996
53.57,cyp,1997
50.74,cyp,1998
50.01,cyp,1999
54.51,cyp,2000
53.92,cyp,2001
52.31,cyp,2002
48.21,cyp,2003
50.24,cyp,2004
50.89,cyp,2005
51.76,cyp,2006
54.2,cyp,2007
