internet_users_per_100_people,geo,time
9.197,grc,2000
11.02,grc,2001
14.78,grc,2002
17.94,grc,2003
21.59,grc,2004
24.17,grc,2005
32.45,grc,2006
36.08,grc,2007
38.39,grc,2008
42.56,grc,2009
44.57,grc,2010
53.4,grc,2011
0.0,grl,1990
0.06486,grl,1994
0.05376,grl,1995
1.789,grl,1996
7.918,grl,1997
14.59,grl,1998
21.57,grl,1999
31.75,grl,2000
35.49,grl,2001
44.16,grl,2002
54.61,grl,2003
56.23,grl,2004
57.96,grl,2005
59.89,grl,2006
61.89,grl,2007
63.92,grl,2008
63.92,grl,2009
63.85,grl,2010
64.62,grl,2011
0.0,grd,1990
0.0,grd,1991
0.0,grd,1992
0.0,grd,1993
0.0,grd,1994
0.0,grd,1995
0.298,grd,1996
