agriculture_percent_of_gdp,geo,time
5.584,dnk,1978
4.783,dnk,1979
4.879,dnk,1980
5.213,dnk,1981
5.524,dnk,1982
4.794,dnk,1983
5.517,dnk,1984
5.017,dnk,1985
4.677,dnk,1986
4.011,dnk,1987
3.924,dnk,1988
4.304,dnk,1989
3.996,dnk,1990
3.68,dnk,1991
3.38,dnk,1992
3.25,dnk,1993
3.171,dnk,1994
3.472,dnk,1995
3.395,dnk,1996
3.183,dnk,1997
2.658,dnk,1998
2.36,dnk,1999
2.61,dnk,2000
2.828,dnk,2001
2.203,dnk,2002
1.983,dnk,2003
1.927,dnk,2004
1.43,dnk,2005
1.33,dnk,2006
1.177,dnk,2007
0.9685,dnk,2008
0.9105,dnk,2009
1.187,dnk,2010
3.29,dji,1989
3.062,dji,1990
3.183,dji,1991
3.305,dji,1992
3.524,dji,1993
3.594,dji,1994
3.235,dji,1995
3.573,dji,1996
3.534,dji,1997
3.481,dji,1998
3.49,dji,1999
3.544,dji,2000
3.538,dji,2001
3.582,dji,2002
3.613,dji,2003
3.618,dji,2004
3.534,dji,2005
3.507,dji,2006
3.855,dji,2007
37.62,dma,1977
39.12,dma,1978
32.89,dma,1979
30.68,dma,1980
31.72,dma,1981
30.44,dma,1982
29.1,dma,1983
28.02,dma,1984
27.95,dma,1985
30.24,dma,1986
29.78,dma,1987
28.45,dma,1988
23.98,dma,1989
25.01,dma,1990
23.79,dma,1991
22.4,dma,1992
21.48,dma,1993
21.73,dma,1994
18.88,dma,1995
19.91,dma,1996
19.39,dma,1997
18.85,dma,1998
18.72,dma,1999
13.93,dma,2000
13.01,dma,2001
12.41,dma,2002
12.68,dma,2003
13.09,dma,2004
13.66,dma,2005
12.62,dma,2006
12.83,dma,2007
14.2,dma,2008
13.69,dma,2009
13.25,dma,2010
23.24,dom,1965
21.91,dom,1966
20.33,dom,1967
