improved_sanitation_rural_access_percent,geo,time
22,pry,1994
23,pry,1995
25,pry,1996
26,pry,1997
28,pry,1998
30,pry,1999
31,pry,2000
33,pry,2001
34,pry,2002
36,pry,2003
37,pry,2004
39,pry,2005
40,pry,2006
40,pry,2007
40,pry,2008
40,pry,2009
40,pry,2010
17,per,1990
18,per,1991
19,per,1992
20,per,1993
21,per,1994
22,per,1995
23,per,1996
24,per,1997
25,per,1998
26,per,1999
27,per,2000
28,per,2001
29,per,2002
30,per,2003
31,per,2004
32,per,2005
33,per,2006
34,per,2007
35,per,2008
36,per,2009
37,per,2010
45,phl,1990
46,phl,1991
47,phl,1992
49,phl,1993
50,phl,1994
51,phl,1995
52,phl,1996
54,phl,1997
55,phl,1998
56,phl,1999
57,phl,2000
58,phl,2001
60,phl,2002
61,phl,2003
62,phl,2004
63,phl,2005
64,phl,2006
66,phl,2007
67,phl,2008
68,phl,2009
69,phl,2010
80,pol,1996
80,pol,1997
80,pol,1998
80,pol,1999
80,pol,2000
80,pol,2001
80,pol,2002
80,pol,2003
80,pol,2004
80,pol,2005
80,pol,2006
80,pol,2007
80,pol,2008
87,prt,1990
88,prt,1991
89,prt,1992
90,prt,1993
91,prt,1994
92,prt,1995
93,prt,1996
94,prt,1997
95,prt,1998
96,prt,1999
97,prt,2000
98,prt,2001
99,prt,2002
100,prt,2003
100,prt,2004
100,prt,2005
100,prt,2006
100,prt,2007
100,prt,2008
100,prt,2009
100,prt,2010
100,qat,1990
100,qat,1991
100,qat,1992
100,qat,1993
100,qat,1994
100,qat,1995
100,qat,1996
100,qat,1997
100,qat,1998
100,qat,1999
100,qat,2000
100,qat,2001
100,qat,2002
100,qat,2003
100,qat,2004
100,qat,2005
100,qat,2006
100,qat,2007
100,qat,2008
100,qat,2009
100,qat,2010
52,rou,1990
52,rou,1991
52,rou,1992
52,rou,1993
53,rou,1994
53,rou,1995
53,rou,1996
53,rou,1997
53,rou,1998
54,rou,1999
54,rou,2000
54,rou,2001
54,rou,2002
54,rou,2003
54,rou,2004
54,rou,2005
54,rou,2006
54,rou,2007
54,rou,2008
58,rus,1990
58,rus,1991
58,rus,1992
58,rus,1993
58,rus,1994
58,rus,1995
58,rus,1996
58,rus,1997
58,rus,1998
59,rus,1999
59,rus,2000
59,rus,2001
59,rus,2002
59,rus,2003
59,rus,2004
59,rus,2005
59,rus,2006
59,rus,2007
59,rus,2008
59,rus,2009
59,rus,2010
34,rwa,1990
35,rwa,1991
36,rwa,1992
37,rwa,1993
38,rwa,1994
39,rwa,1995
40,rwa,1996
41,rwa,1997
43,rwa,1998
44,rwa,1999
45,rwa,2000
46,rwa,2001
47,rwa,2002
48,rwa,2003
49,rwa,2004
50,rwa,2005
52,rwa,2006
53,rwa,2007
54,rwa,2008
55,rwa,2009
56,rwa,2010
96,kna,1990
96,kna,1991
96,kna,1992
96,kna,1993
96,kna,1994
96,kna,1995
96,kna,1996
96,kna,1997
96,kna,1998
96,kna,1999
96,kna,2000
96,kna,2001
96,kna,2002
96,kna,2003
96,kna,2004
96,kna,2005
96,kna,2006
96,kna,2007
96,kna,2008
96,kna,2009
96,kna,2010
54,lca,1990
54,lca,1991
55,lca,1992
55,lca,1993
56,lca,1994
56,lca,1995
57,lca,1996
58,lca,1997
58,lca,1998
59,lca,1999
59,lca,2000
60,lca,2001
60,lca,2002
61,lca,2003
61,lca,2004
62,lca,2005
62,lca,2006
63,lca,2007
63,lca,2008
63,lca,2009
63,lca,2010
96,vct,1990
96,vct,1991
96,vct,1992
96,vct,1993
96,vct,1994
96,vct,1995
96,vct,1996
96,vct,1997
96,vct,1998
96,vct,1999
96,vct,2000
96,vct,2001
96,vct,2002
96,vct,2003
96,vct,2004
96,vct,2005
96,vct,2006
96,vct,2007
96,vct,2008
96,vct,2009
96,vct,2010
99,wsm,1990
99,wsm,1991
99,wsm,1992
99,wsm,1993
99,wsm,1994
99,wsm,1995
99,wsm,1996
99,wsm,1997
99,wsm,1998
99,wsm,1999
98,wsm,2000
98,wsm,2001
98,wsm,2002
98,wsm,2003
98,wsm,2004
98,wsm,2005
98,wsm,2006
98,wsm,2007
98,wsm,2008
98,wsm,2009
98,wsm,2010
14,stp,1994
14,stp,1995
14,stp,1996
14,stp,1997
14,stp,1998
14,stp,1999
15,stp,2000
15,stp,2001
16,stp,2002
16,stp,2003
17,stp,2004
17,stp,2005
18,stp,2006
18,stp,2007
19,stp,2008
19,stp,2009
19,stp,2010
22,sen,1990
23,sen,1991
24,sen,1992
25,sen,1993
26,sen,1994
26,sen,1995
27,sen,1996
28,sen,1997
29,sen,1998
30,sen,1999
31,sen,2000
31,sen,2001
32,sen,2002
33,sen,2003
34,sen,2004
35,sen,2005
35,sen,2006
36,sen,2007
37,sen,2008
38,sen,2009
39,sen,2010
88,srb,2000
88,srb,2001
88,srb,2002
88,srb,2003
88,srb,2004
88,srb,2005
88,srb,2006
88,srb,2007
88,srb,2008
88,srb,2009
88,srb,2010
5,sle,1990
5,sle,1991
5,sle,1992
5,sle,1993
5,sle,1994
5,sle,1995
5,sle,1996
5,sle,1997
5,sle,1998
5,sle,1999
5,sle,2000
5,sle,2001
5,sle,2002
5,sle,2003
5,sle,2004
5,sle,2005
5,sle,2006
5,sle,2007
6,sle,2008
6,sle,2009
6,sle,2010
100,svk,1990
100,svk,1991
100,svk,1992
100,svk,1993
100,svk,1994
100,svk,1995
100,svk,1996
100,svk,1997
100,svk,1998
100,svk,1999
100,svk,2000
99,svk,2001
99,svk,2002
99,svk,2003
99,svk,2004
99,svk,2005
99,svk,2006
99,svk,2007
99,svk,2008
99,svk,2009
99,svk,2010
100,svn,1990
100,svn,1991
100,svn,1992
100,svn,1993
100,svn,1994
100,svn,1995
100,svn,1996
100,svn,1997
100,svn,1998
100,svn,1999
100,svn,2000
100,svn,2001
100,svn,2002
100,svn,2003
100,svn,2004
100,svn,2005
100,svn,2006
100,svn,2007
100,svn,2008
100,svn,2009
100,svn,2010
18,slb,1993
18,slb,1994
18,slb,1995
18,slb,1996
18,slb,1997
18,slb,1998
18,slb,1999
18,slb,2000
18,slb,2001
18,slb,2002
18,slb,2003
18,slb,2004
18,slb,2005
12,som,1993
12,som,1994
12,som,1995
12,som,1996
12,som,1997
11,som,1998
11,som,1999
10,som,2000
10,som,2001
9,som,2002
9,som,2003
8,som,2004
7,som,2005
7,som,2006
6,som,2007
6,som,2008
6,som,2009
6,som,2010
60,zaf,1990
60,zaf,1991
60,zaf,1992
60,zaf,1993
60,zaf,1994
61,zaf,1995
61,zaf,1996
62,zaf,1997
62,zaf,1998
63,zaf,1999
63,zaf,2000
64,zaf,2001
64,zaf,2002
65,zaf,2003
65,zaf,2004
65,zaf,2005
66,zaf,2006
66,zaf,2007
67,zaf,2008
67,zaf,2009
67,zaf,2010
100,esp,1990
100,esp,1991
100,esp,1992
100,esp,1993
100,esp,1994
100,esp,1995
100,esp,1996
100,esp,1997
100,esp,1998
100,esp,1999
100,esp,2000
100,esp,2001
100,esp,2002
100,esp,2003
100,esp,2004
100,esp,2005
100,esp,2006
100,esp,2007
100,esp,2008
100,esp,2009
100,esp,2010
67,lka,1990
69,lka,1991
70,lka,1992
71,lka,1993
73,lka,1994
74,lka,1995
75,lka,1996
77,lka,1997
78,lka,1998
80,lka,1999
81,lka,2000
82,lka,2001
84,lka,2002
85,lka,2003
