geo,aged_15plus_labour_force_participation_rate_percent,time
gum,67.1,2002
gum,67.2,2003
gum,67.3,2004
gum,67.2,2005
gum,67.1,2006
gum,67.1,2007
gtm,60.4,1980
gtm,60.2,1981
gtm,59.8,1982
gtm,59.5,1983
gtm,59.4,1984
gtm,59.2,1985
gtm,59.1,1986
gtm,59.1,1987
gtm,59.2,1988
gtm,59.3,1989
gtm,58.5,1990
gtm,57.6,1991
gtm,56.7,1992
gtm,55.7,1993
gtm,54.5,1994
gtm,53.3,1995
gtm,52.0,1996
gtm,50.5,1997
gtm,48.9,1998
gtm,47.1,1999
gtm,50.4,2000
gtm,53.7,2001
gtm,56.9,2002
gtm,60.1,2003
gtm,63.2,2004
gtm,63.2,2005
gtm,63.5,2006
gtm,63.8,2007
gin,84.5,1980
gin,84.6,1981
gin,84.6,1982
gin,84.7,1983
gin,84.8,1984
gin,84.8,1985
gin,84.8,1986
gin,84.9,1987
gin,84.9,1988
gin,84.9,1989
gin,84.9,1990
gin,85.0,1991
gin,85.0,1992
gin,85.0,1993
gin,85.0,1994
gin,85.0,1995
gin,85.0,1996
gin,84.9,1997
gin,84.9,1998
gin,84.8,1999
gin,84.7,2000
gin,84.6,2001
gin,84.6,2002
gin,84.5,2003
gin,84.4,2004
gin,84.3,2005
gin,84.3,2006
gin,84.1,2007
gnb,70.6,1980
gnb,70.8,1981
gnb,70.8,1982
gnb,70.7,1983
gnb,70.8,1984
gnb,70.7,1985
gnb,70.8,1986
gnb,70.8,1987
gnb,70.9,1988
gnb,70.9,1989
gnb,70.9,1990
gnb,71.0,1991
gnb,71.1,1992
gnb,71.2,1993
gnb,71.3,1994
gnb,71.4,1995
gnb,71.6,1996
gnb,71.7,1997
gnb,71.3,1998
gnb,71.4,1999
gnb,71.5,2000
gnb,71.6,2001
gnb,71.4,2002
gnb,71.5,2003
gnb,71.5,2004
gnb,71.6,2005
gnb,71.6,2006
gnb,71.4,2007
guy,55.1,1980
guy,55.4,1981
guy,55.8,1982
guy,56.1,1983
guy,56.5,1984
guy,56.9,1985
guy,57.2,1986
guy,57.6,1987
guy,57.7,1988
guy,57.9,1989
guy,58.1,1990
guy,58.3,1991
guy,58.6,1992
guy,58.8,1993
guy,59.2,1994
guy,59.6,1995
guy,60.4,1996
guy,61.4,1997
guy,61.2,1998
guy,61.3,1999
guy,61.6,2000
guy,62.5,2001
guy,63.1,2002
guy,63.6,2003
guy,64.1,2004
guy,64.6,2005
guy,65.8,2006
guy,65.6,2007
hti,69.9,1980
hti,69.0,1981
hti,68.1,1982
hti,67.9,1983
hti,67.3,1984
hti,66.8,1985
hti,66.3,1986
hti,65.8,1987
hti,65.3,1988
hti,64.9,1989
hti,64.4,1990
hti,64.7,1991
hti,62.4,1992
hti,61.9,1993
hti,60.4,1994
hti,59.7,1995
hti,59.9,1996
hti,60.0,1997
hti,60.1,1998
hti,60.3,1999
hti,60.2,2000
hti,60.0,2001
hti,60.0,2002
hti,59.9,2003
hti,59.6,2004
hti,59.8,2005
hti,60.0,2006
hti,60.3,2007
hnd,59.4,1980
hnd,59.3,1981
hnd,59.2,1982
hnd,59.3,1983
hnd,59.5,1984
hnd,59.9,1985
hnd,60.2,1986
hnd,60.6,1987
hnd,61.0,1988
hnd,61.3,1989
hnd,61.7,1990
hnd,62.0,1991
hnd,62.8,1992
hnd,63.3,1993
hnd,63.8,1994
hnd,64.2,1995
hnd,65.6,1996
hnd,66.0,1997
hnd,66.4,1998
hnd,67.2,1999
hnd,65.7,2000
hnd,64.1,2001
hnd,62.8,2002
hnd,61.6,2003
hnd,60.3,2004
hnd,59.1,2005
hnd,59.6,2006
hnd,58.7,2007
hkg,64.4,1980
hkg,66.5,1981
hkg,65.5,1982
hkg,65.9,1983
hkg,66.7,1984
hkg,65.2,1985
hkg,65.4,1986
hkg,65.2,1987
hkg,64.9,1988
hkg,64.1,1989
hkg,63.7,1990
hkg,63.8,1991
hkg,62.7,1992
hkg,62.0,1993
hkg,61.6,1994
hkg,61.6,1995
hkg,61.3,1996
hkg,61.1,1997
hkg,61.0,1998
hkg,61.0,1999
hkg,60.9,2000
hkg,61.0,2001
hkg,61.5,2002
hkg,61.2,2003
hkg,61.3,2004
hkg,61.1,2005
hkg,61.2,2006
hkg,61.5,2007
hun,60.5,1980
hun,60.1,1981
hun,59.7,1982
hun,59.2,1983
hun,58.7,1984
hun,58.2,1985
hun,57.7,1986
hun,57.2,1987
hun,56.7,1988
hun,56.2,1989
hun,55.8,1990
hun,55.1,1991
hun,54.8,1992
hun,52.5,1993
hun,50.8,1994
hun,49.5,1995
hun,49.0,1996
hun,48.1,1997
hun,48.3,1998
hun,49.4,1999
hun,49.8,2000
hun,49.5,2001
hun,49.6,2002
hun,50.3,2003
hun,50.3,2004
hun,50.8,2005
hun,51.2,2006
hun,51.0,2007
isl,73.4,1980
isl,73.7,1981
isl,73.7,1982
isl,74.0,1983
isl,73.3,1984
isl,73.9,1985
isl,73.7,1986
isl,73.8,1987
isl,74.5,1988
isl,74.0,1989
isl,74.1,1990
isl,74.3,1991
isl,75.0,1992
isl,74.2,1993
isl,74.3,1994
isl,75.7,1995
isl,74.7,1996
